nb_0,director_name,num_critic_for_reviews,duration,director_fb_likes,actor_3_fb_likes,actor_2_name,actor_1_fb_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_fb_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_fb_likes,imdb_score,movie_fb_likes,Horror,Reality-TV,History,Musical,Drama,Romance,Action,Animation,Film-Noir,Biography,Western,Crime,Thriller,Sci-Fi,News,Comedy,Adventure,Music,War,Family,Mystery,Game-Show,Sport,Fantasy,Short,Documentary
2,Dan Scanlon,376.0,104.0,37.0,760.0,Tyler Labine,12000.0,268488329.0,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0.0,265.0,English,USA,G,200000000.0,2013.0,779.0,7.3,44000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
4,Michael Bay,366.0,150.0,0.0,464.0,Kevin Dunn,894.0,402076689.0,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,Ramon Rodriguez,0.0,1439.0,English,USA,PG-13,200000000.0,2009.0,581.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,Michael Bay,378.0,165.0,0.0,808.0,Sophia Myles,974.0,245428137.0,Bingbing Li,Transformers: Age of Extinction ,242420,3988,Kelsey Grammer,2.0,918.0,English,USA,PG-13,210000000.0,2014.0,956.0,5.7,56000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,Sam Raimi,525.0,130.0,0.0,11000.0,Mila Kunis,44000.0,234903076.0,Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4.0,511.0,English,USA,PG,215000000.0,2013.0,15000.0,6.4,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2,Marc Webb,495.0,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0.0,1067.0,English,USA,PG-13,200000000.0,2014.0,10000.0,6.7,41000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,Joseph Kosinski,469.0,125.0,364.0,1000.0,Olivia Wilde,12000.0,172051787.0,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0.0,665.0,English,USA,PG,170000000.0,2010.0,10000.0,6.8,30000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,John Lasseter,304.0,106.0,487.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0.0,283.0,English,USA,G,200000000.0,2011.0,919.0,6.3,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
1,Martin Campbell,436.0,123.0,258.0,326.0,Temuera Morrison,16000.0,116593191.0,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2.0,550.0,English,USA,PG-13,200000000.0,2011.0,368.0,5.6,24000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,Lee Unkrich,453.0,103.0,125.0,721.0,John Ratzenberger,15000.0,414984497.0,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3.0,733.0,English,USA,G,200000000.0,2010.0,1000.0,8.3,30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
3,McG,422.0,118.0,368.0,988.0,Bryce Dallas Howard,23000.0,125320003.0,Christian Bale,Terminator Salvation ,286095,27468,Common,0.0,974.0,English,USA,PG-13,200000000.0,2009.0,3000.0,6.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,James Wan,424.0,140.0,0.0,14000.0,Paul Walker,26000.0,350034110.0,Jason Statham,Furious 7 ,278232,79150,Vin Diesel,0.0,657.0,English,USA,PG-13,190000000.0,2015.0,23000.0,7.2,94000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
